ID,Start time,Completion time,Email,Name,Last modified time,Select your year group:,Which AI platforms or tools have you used for schoolwork or homework? (Select all that apply),How often do you use AI tools for academic work?,For which subjects do you most commonly use AI tools? (Select all that apply),How do you typically use AI tools for your schoolwork? (Select all that apply),"When you use AI for homework, do you typically:",How do you feel about using AI tools for schoolwork?,How confident are you in your ability to use AI tools effectively and ethically?,Do you currently declare when you've used AI tools in your homework or assignments?,How aware do you think your teachers are of your AI usage?,"How do you feel about teachers using AI in their teaching, e.g. when preparing resources for lessons?",What support would be most helpful from school regarding AI use? (Select up to 3),Have you ever been unsure whether your use of AI was appropriate for a particular assignment or task?,How did you first learn about using AI tools for schoolwork?,Do you primarily use AI tools on:,Are your parents/guardians aware that you use AI tools for schoolwork?,"What has prevented you from using AI tools more, or what concerns do you have? (Select all that apply)","Is there anything else you'd like us to know about your experience with AI tools, or suggestions for how the school could better support students in this area?"
1,6/6/25 14:59:47,6/6/25 15:08:41,anonymous,,,Year 13,ChatGPT;Grammarly (AI writing assistant);Language translation tools (e.g. Google Translate);,Daily,Modern Foreign Languages;Humanities;,Checking my work for errors;Helping with research and finding information; Getting help understanding difficult concepts;,Combination of the latter two options (to check and understand),Somewhat positive - useful but with limitations, Very confident,Rarely,It varies significantly between teachers,Very negative ,Clear guidelines on when AI use is acceptable;Understanding how to cite/acknowledge AI use properly;Subject-specific guidance on appropriate AI use;,"No, never",Found them myself through online research,Personal devices at school,"Yes, they know and are supportive","Worried it might be considered cheating;Concerned about accuracy of AI responses;Doesn't prepare you well for exams. Therefore, any extended work (e.g. essay homework) I will do without any AI input;","As annoying as it is, I think the current block of chatgpt on school wifi is a good idea - it means people are less likely to use it to do schoolwork and not pay attention in class.

Nevertheless, I think it is important to stress the very positive benefits of using AI at home to improve your own work and style. In particular, it is helpful in the creation of revision resources. For instance, I make all of my fill-in-the-blank vocab tables on chatgpt and it probably saves me an hour a week.

It might also be useful to highlight the negative aspects of AI that students haven't considered, such as the environmental impacts. This might be impactful in preventing overuse."
2,6/6/25 14:51:05,6/6/25 15:08:57,anonymous,,,Year 13,ChatGPT;Google Bard/Gemini;,Weekly,politics;,Recall questions for different chapters of the spec; Getting help understanding difficult concepts;,"Use AI only to understand concepts, not create content",Somewhat positive - useful but with limitations, Very confident,I'm not sure if I'm supposed to,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Discussion sessions about AI ethics;Understanding how to cite/acknowledge AI use properly;Learning about AI limitations and potential biases;,"Yes, but only once or twice",Family members,Personal devices at home,"Yes, they know and are supportive",Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,Should we be concerned if we are considering career paths where AI can take over?
3,6/6/25 15:04:36,6/6/25 15:20:11,anonymous,,,Year 13,ChatGPT;Language translation tools (e.g. Google Translate);,Rarely,"Mathematics;Sciences (Biology, Chemistry, Physics);Computer Science;",Checking my work for errors;Creating additional practice questions ;,Use AI to check or improve work I've already created,Very negative - prefer not to use them,Somewhat confident,Always,Somewhat aware - they have a general idea,Very negative ,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;,"No, never",Teachers or school,Personal devices at home,"Yes, they know and are supportive",Concerned about accuracy of AI responses;Prefer to do work without AI assistance;Privacy concerns about my data;,"I am generally concerned about the accuracy of AI, particularly Chat GPT, in a maths and stem context as it is a language model it cannot perform accurate mathematical equations. Furthermore I find it often is biased by previous inputs, I have used it to critique some essays and because I had two different essays I was getting mixed feedback e.g. criticism about topics only mentioned in one essay coming up in feedback about the other essay"
4,6/6/25 16:21:04,6/6/25 16:24:04,anonymous,,,Year 13,ChatGPT;,Weekly,"Sciences (Biology, Chemistry, Physics);Organisation;",Creating summaries of topics ;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations, Very confident,Always,Very aware - they know exactly how and when I use AI,Neutral - neither positive nor negative,Clear guidelines on when AI use is acceptable;Subject-specific guidance on appropriate AI use;Understanding how to cite/acknowledge AI use properly;,"No, never",Found them myself through online research,Personal devices at home,"Yes, they know but don't have strong opinions",School policies are unclear;Cost of premium AI services;,NA
5,6/10/25 22:33:51,6/10/25 22:38:48,anonymous,,,Year 13,I have not used any AI tools for schoolwork;,Never,N/.A;,N/A;,N/A,Very negative - prefer not to use them, Very confident,Always,Very aware - they know exactly how and when I use AI,Very negative ,Discussion sessions about AI ethics;,"No, never",News or articles,I don't currently use AI tools,Not applicable - I don't use AI tools,Prefer to do work without AI assistance;Environmental and long term impact of large data centers needed to cope with the demand of increased AI usage;,"Aim to discourage unnecessary AI usage, e.g. using Chat GPT rather than an internet browser to collate answers from the internet, and make students aware of the real costs of AI usage (water, energy, and the space needed for new data centers etc.) "
6,6/11/25 14:01:29,6/11/25 14:04:38,anonymous,,,Year 11,ChatGPT;,Monthly,Humanities;,Helping with research and finding information;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations,Somewhat confident,Usually,Not very aware - they might suspect but don't know details, Very positive ,Clear guidelines on when AI use is acceptable;,"Yes, but only once or twice",Family members,Personal devices at home,"Yes, they know and are supportive",Prefer to do work without AI assistance;,.
7,6/11/25 14:05:19,6/11/25 14:05:26,anonymous,,,Year 11,ChatGPT;Microsoft Copilot;Photomath or similar math solvers;,Daily,"Sciences (Biology, Chemistry, Physics);Mathematics;", Getting help understanding difficult concepts;Helping with research and finding information;,"I use it to understand concepts but i also find it very usual for revision, during study leave the night before exams i would get chat GPT to mark my essays and give me useful last minute advice",Very positive - they're extremely helpful, Very confident,Usually,Somewhat aware - they have a general idea,Neutral - neither positive nor negative,Training on how to use AI tools effectively;Understanding how to cite/acknowledge AI use properly;I honestly think when used properly AI can be so helpful for revision purposes;,"No, never","Social media (TikTok, YouTube, etc.)",Personal devices at home,"Yes, they know and are supportive",Nothing prevents me - I use AI as much as I want;,Like I said before I think it has been very helpful for revision during the last few weeks.
8,6/11/25 14:01:50,6/11/25 14:07:11,anonymous,,,Year 11,ChatGPT;Microsoft Copilot;,Several times a week," English/Literature;Sciences (Biology, Chemistry, Physics);Humanities;", Getting help understanding difficult concepts;Checking my work for errors;Generating ideas for essays or projects;Helping with research and finding information;,Use AI as a starting point and significantly modify the output,Somewhat positive - useful but with limitations,Somewhat confident,I'm not sure if I'm supposed to,It varies significantly between teachers,Neutral - neither positive nor negative,Nothing - I'm comfortable with my current AI use;,I haven't really thought about this,Family members,Personal devices at home,"Yes, they know and are supportive",Prefer to do work without AI assistance;,ai tools are so good especially if u need someone to vent to :3333
9,6/11/25 14:01:26,6/11/25 14:08:29,anonymous,,,Year 11,ChatGPT;Photomath or similar math solvers;Language translation tools (e.g. Google Translate);,Rarely,Mathematics;Modern Foreign Languages;,Translating text between languages;Solving math problems step-by-step;,"Use AI only to understand concepts, not create content",Very negative - prefer not to use them, Very confident,Never,It varies significantly between teachers,Somewhat negative ,Clear guidelines on when AI use is acceptable;Learning about AI limitations and potential biases;,"Yes, but only once or twice",Friends or classmates,Personal devices at home,"Yes, they know and are supportive",Prefer to do work without AI assistance;Privacy concerns about my data;Worried it might be considered cheating;,"On multiple occasions myself and others have been asked if our work is AI generated because of the level of literacy in some parts of it, so maybe the school could find ways to properly assess whether something has been written by a student or not, instead of maybe just running it through a different AI software."
10,6/11/25 14:14:10,6/11/25 14:17:03,anonymous,,,Year 11,Microsoft Copilot;ChatGPT;Language translation tools (e.g. Google Translate);,Rarely,Humanities;, Getting help understanding difficult concepts;Helping with research and finding information;,"Use AI only to understand concepts, not create content",Very positive - they're extremely helpful, Very confident,I'm not sure if I'm supposed to,Not very aware - they might suspect but don't know details,Somewhat negative ,Understanding how to cite/acknowledge AI use properly;Subject-specific guidance on appropriate AI use;,"No, never",News or articles,Personal devices at school,"Yes, they know and are supportive",Concerned about accuracy of AI responses;Prefer to do work without AI assistance;,no
